foundation,category,dept_display_name,catalog_number,course_title
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M60A,Introduction to Buddhism
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",M60B,Introduction to Chinese Religions
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",M60C,Introduction to Korean Religions
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M60C,Introduction to Korean Religions
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M60D,Religion in Classical India: Introduction
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",M60D,Religion in Classical India: Introduction
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M60W,Introduction to Buddhism
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M61,Introduction to Zen Buddhism
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M61,Introduction to Zen Buddhism
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M70,"Demons, Fear, and Uncanny in Ancient World"
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M70,"Demons, Fear, and Uncanny in Ancient World"
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",113,In Search of Meaning: From Holy Texts to Hollywood
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",113,In Search of Meaning: From Holy Texts to Hollywood
Foundations of Society and Culture,Social Analysis,"Religion, Study of",113,In Search of Meaning: From Holy Texts to Hollywood
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M115,Islam and Other Religions
Foundations of Society and Culture,Social Analysis,"Religion, Study of",M115,Islam and Other Religions
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M132,Ancient Egyptian Religion
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",M132,Ancient Egyptian Religion
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,25,Great Russian Novel
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,25W,Great Russian Novel
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,31,Introduction to Russian Film
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Russian,31,Introduction to Russian Film
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,31,Introduction to Russian and Soviet Film
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Russian,31,Introduction to Russian and Soviet Film
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,90A,Introduction to Russian Culture
Foundations of Society and Culture,Historical Analysis,Russian,90A,Introduction to Russian Culture
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,90B,Russian Culture in 20th Century
Foundations of Arts and Humanities,Literary and Cultural Analysis,Russian,90BW,Russian Culture in 20th Century
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,40,"Heroic Journey in Northern Myth, Legend, and Epic"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,40W,"Heroic Journey in Northern Myth, Legend, and Epic"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,50,Introduction to Scandinavian Literatures and Cultures
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,50W,Introduction to Scandinavian Literatures and Cultures
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,60,Introduction to Nordic Cinema
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Scandinavian,60,Introduction to Nordic Cinema
Foundations of Arts and Humanities,Literary and Cultural Analysis,Scandinavian,60W,Introduction to Nordic Cinema
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Scandinavian,60W,Introduction to Nordic Cinema
Foundations of Arts and Humanities,Literary and Cultural Analysis,Slavic,5,Introduction to Eurasia
Foundations of Society and Culture,Historical Analysis,Slavic,5,Introduction to Eurasia
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Slavic,M20,Visible Language: Study of Writing
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Slavic,87,Languages of Los Angeles
Foundations of Society and Culture,Social Analysis,Slavic,87,Languages of Los Angeles
Foundations of Arts and Humanities,Literary and Cultural Analysis,Slavic,90,Introduction to Slavic Cultures
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Slavic,90,Introduction to Slavic Cultures
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Slavic,90,Introduction to Slavic Cultures
Foundations of Arts and Humanities,Literary and Cultural Analysis,Society and Genetics,M71A,Biotechnology and Society
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M71A,Biotechnology and Society
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M71A,Biotechnology and Society
Foundations of Society and Culture,Social Analysis,Society and Genetics,M71A,Biotechnology and Society
Foundations of Arts and Humanities,Literary and Cultural Analysis,Society and Genetics,M71B,Biotechnology and Society
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M71B,Biotechnology and Society
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M71B,Biotechnology and Society
Foundations of Society and Culture,Social Analysis,Society and Genetics,M71B,Biotechnology and Society
Foundations of Arts and Humanities,Literary and Cultural Analysis,Society and Genetics,M71CW,Biotechnology and Society: Special Topics
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M71CW,Biotechnology and Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M71CW,Biotechnology and Society: Special Topics
